Timestamp_PC (s),DeltaT_uC (ms),DeltaT_uC (s),Acel_X (m/s²),Acel_Y (m/s²),Acel_Z (m/s²)
2.709,11,0.011,0.019153,0.019154,9.710881
2.714,12,0.012,0.047884,0.028731,9.749189
2.718,11,0.011,0.009577,0.009577,9.720458
2.722,11,0.011,0.009577,0.009577,9.720458
2.726,11,0.011,0.009577,0.009577,9.758765
2.726,12,0.012,0.009577,0.009577,9.758765
2.736,11,0.011,0.0,0.019154,9.749189
2.740,11,0.011,0.0,0.019154,9.749189
2.745,12,0.012,0.009576,0.019154,9.749189
2.851,11,0.011,0.009576,0.028731,9.749189
2.851,11,0.011,0.02873,0.028731,9.749189
2.851,12,0.012,0.009576,0.047885,9.720458
2.865,11,0.011,0.009576,0.047885,9.720458
2.867,11,0.011,0.0,0.038308,9.749189
2.873,11,0.011,0.0,0.038308,9.749189
2.879,12,0.012,0.019153,0.028731,9.768342
2.881,11,0.011,0.019153,0.028731,9.768342
2.887,11,0.011,0.019153,0.028731,9.730035
2.891,12,0.012,0.02873,0.019154,9.758765
2.896,11,0.011,0.02873,0.019154,9.758765
2.899,11,0.011,0.009576,0.019154,9.720458
2.906,12,0.012,0.009576,0.019154,9.720458
2.909,11,0.011,0.019153,0.038308,9.758765
2.914,11,0.011,0.019153,0.038308,9.758765
3.021,11,0.011,0.0,0.019154,9.749189
3.024,12,0.012,0.019153,0.038308,9.739612
3.024,11,0.011,0.019153,0.038308,9.739612
3.035,11,0.011,0.019153,0.067038,9.758765
3.038,12,0.012,0.019153,0.067038,9.758765
3.044,11,0.011,0.0,0.009576,9.730035
3.046,11,0.011,0.0,0.009576,9.730035
3.053,12,0.012,0.019153,0.019154,9.768342
3.057,11,0.011,0.019153,0.009577,9.720458
3.061,11,0.011,0.0,0.009577,9.720458
3.066,11,0.011,0.0,0.019153,9.787496
3.070,12,0.012,0.0,0.019153,9.787496
3.075,11,0.011,0.02873,0.019154,9.691728
3.079,11,0.011,0.02873,0.019154,9.691728
3.082,12,0.012,0.02873,0.028731,9.730035
3.183,11,0.011,0.02873,0.028731,9.730035
3.193,11,0.011,0.0,0.009577,9.720458
3.193,12,0.012,0.0,0.028731,9.730035
3.204,11,0.011,0.0,0.028731,9.730035
3.208,11,0.011,0.0,0.028731,9.720458
3.214,11,0.011,0.0,0.028731,9.720458
3.217,12,0.012,0.019153,0.019153,9.691728
3.223,11,0.011,0.019153,0.019153,9.691728
3.228,11,0.011,0.047884,0.009577,9.768342
3.231,12,0.012,0.02873,0.019154,9.749189
3.236,11,0.011,0.02873,0.019154,9.749189
3.240,11,0.011,0.019153,0.047885,9.749189
3.245,12,0.012,0.019153,0.047885,9.749189
3.249,11,0.011,0.009576,0.028731,9.710881
3.249,11,0.011,0.009576,0.028731,9.710881
3.356,11,0.011,0.0,0.009576,9.749189
3.364,12,0.012,0.0,0.009576,9.739612
3.369,11,0.011,0.009577,0.038308,9.739612
3.374,11,0.011,0.019153,0.057461,9.730035
3.378,12,0.012,0.019153,0.057461,9.730035
3.383,11,0.011,0.019153,0.047885,9.739612
3.387,11,0.011,0.019153,0.047885,9.739612
3.391,12,0.012,0.0,0.019154,9.730035
3.396,11,0.011,0.0,0.019154,9.730035
3.399,11,0.011,0.019153,0.009577,9.720458
3.405,11,0.011,0.02873,0.038308,9.730035
3.409,12,0.012,0.02873,0.038308,9.730035
3.415,11,0.011,0.009576,0.028731,9.739612
3.419,11,0.011,0.009576,0.028731,9.739612
3.423,12,0.012,0.019153,0.038308,9.730035
3.530,11,0.011,0.019153,0.038308,9.730035
3.535,11,0.011,0.009576,0.0,9.730035
3.539,12,0.012,0.038308,0.0,9.720458
3.544,11,0.011,0.038308,0.0,9.720458
3.548,11,0.011,0.0,0.019154,9.758765
3.551,11,0.011,0.0,0.019154,9.758765
3.557,12,0.012,0.019153,0.019154,9.739612
3.559,11,0.011,0.019153,0.019154,9.739612
3.559,11,0.011,0.019153,0.028731,9.749189
3.570,12,0.012,0.019153,0.028731,9.739612
3.575,11,0.011,0.0,0.028731,9.739612
3.579,11,0.011,0.009576,0.0,9.787496
3.583,12,0.012,0.009576,0.0,9.787496
3.589,11,0.011,0.009576,0.0,9.730035
3.592,11,0.011,0.009576,0.0,9.730035
3.699,11,0.011,0.0,0.0,9.730035
3.704,12,0.012,0.0,0.0,9.730035
3.709,11,0.011,0.019154,0.0,9.720458
3.713,11,0.011,0.009576,0.028731,9.730035
3.717,12,0.012,0.009576,0.028731,9.730035
3.722,11,0.011,0.009576,0.009577,9.739612
3.726,11,0.011,0.009576,0.009577,9.739612
3.731,12,0.012,0.009576,0.0,9.739612
3.731,11,0.011,0.009576,0.0,9.739612
3.740,11,0.011,0.009576,0.028731,9.739612
3.742,11,0.011,0.0,0.038308,9.730035
